2024-06-13,1,Women Elite,Sprint,Qualifying
2024-06-13,2,Women Elite,Omnium,Scratch Race
2024-06-13,3,Women Elite,Sprint,Quarter Finals
2024-06-13,4,Men Elite,Scratch Race,
2024-06-13,5,Women Elite,Omnium,Tempo Race
2024-06-13,6,Women Elite,Sprint,Semi Finals
2024-06-13,7,Men Elite,Keirin,Semi Finals
2024-06-13,8,Men Elite,Elimination Race,
2024-06-13,9,Women Elite,Sprint,Finals
2024-06-13,10,Women Elite,Omnium,Elimination Race
2024-06-13,11,Men Elite,Madison Flying Lap,
2024-06-13,12,Men Elite,Keirin,Finals
2024-06-13,13,Women Elite,Omnium,Points Race
2024-06-13,14,Men Elite,Madison,
2024-06-14,15,Men Elite,Sprint,Qualifying
2024-06-14,16,Men Elite,Omnium,Scratch Race
2024-06-14,17,Men Elite,Sprint,Round 1
2024-06-14,18,Women Elite,Scratch Race,
2024-06-14,19,Men Elite,Omnium,Tempo Race
2024-06-14,20,Men Elite,Sprint,Quarter Finals
2024-06-14,21,Men Elite,Sprint,Semi Finals
2024-06-14,22,Women Elite,Elimination Race,
2024-06-14,23,Men Elite,Omnium,Elimination Race
2024-06-14,24,Women Elite,Keirin,Finals
2024-06-14,25,Men Elite,Sprint,Finals
2024-06-14,26,Women Elite,Madison,
2024-06-14,27,Men Elite,Omnium,Points Race
