Event,South London Grand Prix,,
HeaderImage,SLGP.png,,
Title,Women Elite - Omnium Elimination,,
SubTitle,Start List,,
CommuniqueNumber,016,,
HeaderText,1 rider is eliminated each lap,,
Decision,,,
CommuniqueType,0,,
,,,
From the fence,Bib,Name,Nation
,5,BARNWELL Ella,GBR
,6,BOOTHMAN Erin,GBR
,15,JESSETT Miriam,GBR
,1,WINTHER OLSEN Amalie,DEN
,4,WATKINSON Dannielle,GBR
,9,CORNELIUS Jasmine,GBR
,16,SODEN Nicola,GBR
,,,
From the blue band,Bib,Name,Nation
,3,FERGUSON Cat,GBR
,13,GLOVER Lucy,GBR
,14,NELSON Lucy,GBR
,7,SELVA Francesca,ITA
,8,HOMER Gabriella,IRL
,17,HALSEY Sasha,GBR
,10,MAC HALE Keela,IRL
