Event,South London Grand Prix,,
HeaderImage,SLGP.png,,
Title,Women Elite - Omnium Points Race,,
SubTitle,Start List,,
CommuniqueNumber,019,,
HeaderText,7.5km / 17 laps,,
Decision,,,
CommuniqueType,0,,
,,,
From the fence,Bib,Name,Nation
,5,BARNWELL Ella,GBR
,13,GLOVER Lucy,GBR
,14,NELSON Lucy,GBR
,7,SELVA Francesca,ITA
,9,CORNELIUS Jasmine,GBR
,8,HOMER Gabriella,IRL
,16,SODEN Nicola,GBR
,,,
From the blue band,Bib,Name,Nation
,3,FERGUSON Cat,GBR
,6,BOOTHMAN Erin,GBR
,15,JESSETT Miriam,GBR
,1,WINTHER OLSEN Amalie,DEN
,4,WATKINSON Dannielle,GBR
,17,HALSEY Sasha,GBR
