Event,South London Grand Prix,,
HeaderImage,SLGP.png,,
Title,Women Elite - Omnium Scratch,,
SubTitle,Start List,,
CommuniqueNumber,005,,
HeaderText,7.5km / 17 laps,,
Decision,,,
CommuniqueType,0,,
,,,
From the fence,Bib,Name,Nation
,1,WINTHER OLSEN Amalie,DEN
,15,JESSETT Miriam,GBR
,8,HOMER Gabriella,IRL
,16,SODEN Nicola,GBR
,17,HALSEY Sasha,GBR
,4,WATKINSON Dannielle,GBR
,6,BOOTHMAN Erin,GBR
,32,CADMAN Hannah,GBR
,,,
From the blue band,Bib,Name,Nation
,7,SELVA Francesca,ITA
,14,NELSON Lucy,GBR
,10,MAC HALE Keela,IRL
,9,CORNELIUS Jasmine,GBR
,3,FERGUSON Cat,GBR
,5,BARNWELL Ella,GBR
,13,GLOVER Lucy,GBR
