Event,South London Grand Prix,,
HeaderImage,SLGP.png,,
Title,Women Elite - Omnium Tempo,,
SubTitle,Start List,,
CommuniqueNumber,013,,
HeaderText,7.5km / 17 laps,,
Decision,,,
CommuniqueType,0,,
,,,
From the fence,Bib,Name,Nation
,5,BARNWELL Ella,GBR
,6,BOOTHMAN Erin,GBR
,14,NELSON Lucy,GBR
,1,WINTHER OLSEN Amalie,DEN
,7,SELVA Francesca,ITA
,4,WATKINSON Dannielle,GBR
,16,SODEN Nicola,GBR
,,,
From the blue band,Bib,Name,Nation
,3,FERGUSON Cat,GBR
,13,GLOVER Lucy,GBR
,9,CORNELIUS Jasmine,GBR
,8,HOMER Gabriella,IRL
,15,JESSETT Miriam,GBR
,17,HALSEY Sasha,GBR
,10,MAC HALE Keela,IRL
